word,freq_text1,freq_text2,log_likelihood,key_in
ned,2,37,2.2214670395128957,Text1
had,3,432,2.2200313899278665,Text2
neck,1,9,2.2186115082701567,Text1
sneaking,1,9,2.2186115082701567,Text1
minister,1,9,2.2186115082701567,Text1
drax,1,9,2.2186115082701567,Text1
cash,1,9,2.2186115082701567,Text1
engaged,1,9,2.2186115082701567,Text1
often,1,9,2.2186115082701567,Text1
imagined,1,9,2.2186115082701567,Text1
status,1,9,2.2186115082701567,Text1
wasting,1,9,2.2186115082701567,Text1
wherever,1,9,2.2186115082701567,Text1
wicked,1,9,2.2186115082701567,Text1
chinese,1,9,2.2186115082701567,Text1
china,1,9,2.2186115082701567,Text1
shoot,0,75,2.2034691405698417,Text2
shall,0,75,2.2034691405698417,Text2
fly,0,74,2.1740892080730045,Text2
years,1,222,2.168349796211185,Text2
phone,2,38,2.1469216713859915,Text1
anyway,2,38,2.1469216713859915,Text1
thanos,0,73,2.1447092759414623,Text2
nobody,0,72,2.1153293441851972,Text2
speak,0,72,2.1153293441851972,Text2
comes,0,72,2.1153293441851972,Text2
funny,0,71,2.085949412814803,Text2
